nflId,height,weight,birthDate,collegeName,Position,displayName
42901,1-Jun,208,7/25/1992,James Madison,SS,Dean Marlowe
43501,Jun-00,220,8/11/1994,Central Michigan,FS,Kavon Frazier
43534,Jun-00,205,6/2/1993,Illinois,SS,Clayton Fejedelem
43535,1-Jun,235,12/22/1992,Temple,MLB,Tyler Matakevich
44174,1-Jun,236,2/22/1993,Texas Tech,ILB,Sam Eguavoen
44931,4-Jun,221,9/16/1993,North Carolina,WR,Mack Hollins
44985,8-May,173,4/9/1995,Georgia,WR,Isaiah McKenzie
45369,4-Jun,210,8/14/1995,Hawaii,WR,Marcus Kemp
45608,10-May,180,10/23/1994,Iowa State,CB,Jamal Perry
46223,Jun-00,205,8/4/1994,Jacksonville State,CB,Siran Neal
46298,11-May,186,11/16/1995,New Mexico,K,Jason Sanders
46303,Jun-00,240,4/20/1997,North Carolina,ILB,Andre Smith
46969,10-May,198,12/5/1994,Kent State,DB,Nate Holley
47934,4-Jun,242,7/1/1995,Wisconsin,OLB,Andrew Van Ginkel
47964,10-May,190,11/13/1995,Miami,FS,Jaquan Johnson
48008,6-Jun,253,4/4/1997,North Carolina A&amp;T,DE,Darryl Johnson
48449,5-Jun,264,3/24/1996,"Miami, O.",TE,Nate Becker
48482,Jun-00,237,6/25/1998,Texas A&amp;M,MLB,Tyrel Dodson
52438,11-May,196,11/27/1999,Auburn,CB,Noah Igbinoghene
52462,5-Jun,280,9/15/1998,Iowa,DE,A.J. Epenesa
52478,Jun-00,205,4/2/1998,Texas,FS,Brandon Jones
52536,3-Jun,213,3/1/1999,Central Florida,WR,Gabriel Davis
40096,1-Jun,240,7/30/1991,Iowa State,OLB,A.J. Klein
42924,6-Jun,325,9/15/1991,Idaho,T,Jesse Davis
43319,4-Jun,330,6/14/1994,Louisiana Tech,DT,Vernon Butler
43436,4-Jun,291,3/31/1993,Maryland,DT,Quinton Jefferson
43510,4-Jun,305,3/15/1993,Illinois,C,Ted Karras
44943,7-Jun,325,1/9/1995,Bucknell,T,Julien Davenport
45296,Jun-00,205,7/25/1994,Arizona State,P,Matt Haack
46085,5-Jun,250,5/2/1998,Virginia Tech,MLB,Tremaine Edmunds
46192,6-Jun,260,8/9/1995,Notre Dame,TE,Durham Smythe
46698,Jun-00,179,6/12/1995,Alabama,CB,Levi Wallace
47796,4-Jun,315,12/20/1995,Clemson,DE,Christian Wilkins
47861,6-Jun,310,9/3/1996,Wisconsin,C,Michael Deiter
52426,6-Jun,310,8/11/1999,Southern California,T,Austin Jackson
